issue_id,severity,issue_type,course_id,course_code,page_id,title,requested_url,resolved_url,source_file,detail,access_resolution_status,access_resolution_reason,access_final_action
issue-0015,low,redirected,2080857,MTH-252,00034-mth-252-module-item-start-here-where-to-go-for-help-integral-calculus-mth-252z-400-u2026,Start Here — Where to go for help?: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982531,https://canvas.oregonstate.edu/courses/2080857/pages/start-here-where-to-go-for-help?module_item_id=26982531,metadata/00034-mth-252-module-item-start-here-where-to-go-for-help-integral-calculus-mth-252z-400-u2026.json,Requested URL resolved to a different URL.,,,
issue-0016,low,redirected,2080857,MTH-252,00035-mth-252-module-item-start-here-accessibility-statements-privacy-policies-integral-calculus-mth-252z-400-u2026,Start Here — Accessibility Statements & Privacy Policies: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982532,https://canvas.oregonstate.edu/courses/2080857/pages/start-here-accessibility-statements-and-privacy-policies?module_item_id=26982532,metadata/00035-mth-252-module-item-start-here-accessibility-statements-privacy-policies-integral-calculus-mth-252z-400-u2026.json,Requested URL resolved to a different URL.,,,
issue-0017,low,redirected,2080857,MTH-252,00036-mth-252-module-item-start-here-sources-cited-integral-calculus-mth-252z-400-u2026,Start Here — Sources Cited: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982533,https://canvas.oregonstate.edu/courses/2080857/pages/start-here-sources-cited?module_item_id=26982533,metadata/00036-mth-252-module-item-start-here-sources-cited-integral-calculus-mth-252z-400-u2026.json,Requested URL resolved to a different URL.,,,
issue-0018,low,redirected,2080857,MTH-252,00037-mth-252-module-item-start-here-conclusion-integral-calculus-mth-252z-400-u2026,Start Here — Conclusion: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982534,https://canvas.oregonstate.edu/courses/2080857/pages/start-here-conclusion?module_item_id=26982534,metadata/00037-mth-252-module-item-start-here-conclusion-integral-calculus-mth-252z-400-u2026.json,Requested URL resolved to a different URL.,,,
issue-0019,low,redirected,2080857,MTH-252,00038-mth-252-module-item-topic-q-a-discussion,Topic: Q&A Discussion,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982539,https://canvas.oregonstate.edu/courses/2080857/discussion_topics/11593476?module_item_id=26982539,metadata/00038-mth-252-module-item-topic-q-a-discussion.json,Requested URL resolved to a different URL.,,,
issue-0020,low,redirected,2080857,MTH-252,00039-mth-252-module-item-mlc-hours-pdf-integral-calculus-mth-252z-400-u2026,MLC Hours.pdf: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982536,https://canvas.oregonstate.edu/courses/2080857/files/119223484?module_item_id=26982536,metadata/00039-mth-252-module-item-mlc-hours-pdf-integral-calculus-mth-252z-400-u2026.json,Requested URL resolved to a different URL.,,,
issue-0021,low,redirected,2080857,MTH-252,00040-mth-252-module-item-how-to-videos-integral-calculus-mth-252z-400-u2026,How-To Videos: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982537,https://canvas.oregonstate.edu/courses/2080857/pages/how-to-videos?module_item_id=26982537,metadata/00040-mth-252-module-item-how-to-videos-integral-calculus-mth-252z-400-u2026.json,Requested URL resolved to a different URL.,,,
issue-0022,medium,external_tool,2080857,MTH-252,00041-mth-252-module-item-review-optional-3-3-differentiation-rules,Review (Optional) - 3.3 Differentiation Rules,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982540,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982540,metadata/00041-mth-252-module-item-review-optional-3-3-differentiation-rules.json,Page may require external-tool handling beyond rendered Canvas text.,,,
issue-0023,medium,external_tool,2080857,MTH-252,00042-mth-252-module-item-review-optional-3-5-derivatives-of-trigonometric-functions,Review (Optional) - 3.5 Derivatives of Trigonometric Functions,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982541,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982541,metadata/00042-mth-252-module-item-review-optional-3-5-derivatives-of-trigonometric-functions.json,Page may require external-tool handling beyond rendered Canvas text.,,,
issue-0024,medium,external_tool,2080857,MTH-252,00043-mth-252-module-item-review-optional-3-6-the-chain-rule,Review (Optional) - 3.6 The Chain Rule,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982542,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982542,metadata/00043-mth-252-module-item-review-optional-3-6-the-chain-rule.json,Page may require external-tool handling beyond rendered Canvas text.,,,
issue-0025,medium,external_tool,2080857,MTH-252,00044-mth-252-module-item-review-optional-3-9-derivatives-of-exponential-and-logarithmic-functions,Review (Optional) - 3.9 Derivatives of Exponential and Logarithmic Functions,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982543,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982543,metadata/00044-mth-252-module-item-review-optional-3-9-derivatives-of-exponential-and-logarithmic-functions.json,Page may require external-tool handling beyond rendered Canvas text.,,,
issue-0026,low,redirected,2080857,MTH-252,00045-mth-252-module-item-module-1-overview-integral-calculus-mth-252z-400-u2026,Module 1 — Overview: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982544,https://canvas.oregonstate.edu/courses/2080857/pages/module-1-overview?module_item_id=26982544,metadata/00045-mth-252-module-item-module-1-overview-integral-calculus-mth-252z-400-u2026.json,Requested URL resolved to a different URL.,,,
issue-0027,low,redirected,2080857,MTH-252,00046-mth-252-module-item-module-1-learning-materials-and-practice-activities-3-5-hours-integral-calculus-mth-252z-400-u20,Module 1 — Learning Materials and Practice Activities 🕓 3 - 5 hours: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982545,https://canvas.oregonstate.edu/courses/2080857/pages/module-1-learning-materials-and-practice-activities-3-5-hours-2?module_item_id=26982545,metadata/00046-mth-252-module-item-module-1-learning-materials-and-practice-activities-3-5-hours-integral-calculus-mth-252z-400-u20.json,Requested URL resolved to a different URL.,,,
issue-0028,low,redirected,2080857,MTH-252,00047-mth-252-module-item-252-lecture-1-1-to-me1-pdf-integral-calculus-mth-252z-400-u2026,252-Lecture-1.1-to-ME1.pdf: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982546,https://canvas.oregonstate.edu/courses/2080857/files/119223553?module_item_id=26982546,metadata/00047-mth-252-module-item-252-lecture-1-1-to-me1-pdf-integral-calculus-mth-252z-400-u2026.json,Requested URL resolved to a different URL.,,,
issue-0029,low,redirected,2080857,MTH-252,00048-mth-252-module-item-dr-g-s-videos-1-1-integral-calculus-mth-252z-400-u2026,Dr. G's Videos --> 1.1: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982547,https://canvas.oregonstate.edu/courses/2080857/pages/dr-gs-videos-%3E-1-dot-1?module_item_id=26982547,metadata/00048-mth-252-module-item-dr-g-s-videos-1-1-integral-calculus-mth-252z-400-u2026.json,Requested URL resolved to a different URL.,,,
issue-0030,low,redirected,2080857,MTH-252,00049-mth-252-module-item-pre-class-reading-quiz-1-1-rq-1-1-integral-calculus-mth-252z-400-u2026,Pre-Class Reading Quiz - 1.1 (RQ-1.1): INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982548,https://canvas.oregonstate.edu/courses/2080857/quizzes/3167659?module_item_id=26982548,metadata/00049-mth-252-module-item-pre-class-reading-quiz-1-1-rq-1-1-integral-calculus-mth-252z-400-u2026.json,Requested URL resolved to a different URL.,,,
issue-0031,medium,external_tool,2080857,MTH-252,00050-mth-252-module-item-module-1-written-homework-whw-1-2-hours,Module 1 — Written Homework (WHW 1) 🕓 2 hours,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982549,https://canvas.oregonstate.edu/courses/2080857/assignments/10586053?module_item_id=26982549,metadata/00050-mth-252-module-item-module-1-written-homework-whw-1-2-hours.json,Page may require external-tool handling beyond rendered Canvas text.,,,
issue-0032,low,redirected,2080857,MTH-252,00050-mth-252-module-item-module-1-written-homework-whw-1-2-hours,Module 1 — Written Homework (WHW 1) 🕓 2 hours,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982549,https://canvas.oregonstate.edu/courses/2080857/assignments/10586053?module_item_id=26982549,metadata/00050-mth-252-module-item-module-1-written-homework-whw-1-2-hours.json,Requested URL resolved to a different URL.,,,
issue-0033,medium,external_tool,2080857,MTH-252,00051-mth-252-module-item-intro-reflect-1,Intro Reflect 1,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982550,https://canvas.oregonstate.edu/courses/2080857/assignments/10586044?module_item_id=26982550,metadata/00051-mth-252-module-item-intro-reflect-1.json,Page may require external-tool handling beyond rendered Canvas text.,,,
issue-0034,low,redirected,2080857,MTH-252,00051-mth-252-module-item-intro-reflect-1,Intro Reflect 1,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982550,https://canvas.oregonstate.edu/courses/2080857/assignments/10586044?module_item_id=26982550,metadata/00051-mth-252-module-item-intro-reflect-1.json,Requested URL resolved to a different URL.,,,
issue-0035,medium,external_tool,2080857,MTH-252,00052-mth-252-module-item-achieve-1-1-approximating-areas,Achieve - 1.1 Approximating Areas,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982551,https://canvas.oregonstate.edu/courses/2080857/assignments/10586025?module_item_id=26982551,metadata/00052-mth-252-module-item-achieve-1-1-approximating-areas.json,Page may require external-tool handling beyond rendered Canvas text.,,,
issue-0036,low,redirected,2080857,MTH-252,00052-mth-252-module-item-achieve-1-1-approximating-areas,Achieve - 1.1 Approximating Areas,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982551,https://canvas.oregonstate.edu/courses/2080857/assignments/10586025?module_item_id=26982551,metadata/00052-mth-252-module-item-achieve-1-1-approximating-areas.json,Requested URL resolved to a different URL.,,,
issue-0037,low,redirected,2080857,MTH-252,00053-mth-252-module-item-topic-module-1-discussion-reflection-whw-1-0-25-hour,Topic: Module 1 — Discussion Reflection: WHW 1 🕓 0.25 hour,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982552,https://canvas.oregonstate.edu/courses/2080857/discussion_topics/11593475?module_item_id=26982552,metadata/00053-mth-252-module-item-topic-module-1-discussion-reflection-whw-1-0-25-hour.json,Requested URL resolved to a different URL.,,,
issue-0038,low,redirected,2080857,MTH-252,00054-mth-252-module-item-module-2-overview-integral-calculus-mth-252z-400-u2026,Module 2 — Overview: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982553,https://canvas.oregonstate.edu/courses/2080857/pages/module-2-overview?module_item_id=26982553,metadata/00054-mth-252-module-item-module-2-overview-integral-calculus-mth-252z-400-u2026.json,Requested URL resolved to a different URL.,,,
issue-0039,low,redirected,2080857,MTH-252,00055-mth-252-module-item-module-2-learning-materials-and-practice-activities-3-5-hours-integral-calculus-mth-252z-400-u20,Module 2 — Learning Materials and Practice Activities 🕓 3 - 5 hours: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982554,https://canvas.oregonstate.edu/courses/2080857/pages/module-2-learning-materials-and-practice-activities-3-5-hours-2?module_item_id=26982554,metadata/00055-mth-252-module-item-module-2-learning-materials-and-practice-activities-3-5-hours-integral-calculus-mth-252z-400-u20.json,Requested URL resolved to a different URL.,,,
issue-0040,low,redirected,2080857,MTH-252,00056-mth-252-module-item-252-lecture-1-1-to-me1-pdf-integral-calculus-mth-252z-400-u2026,252-Lecture-1.1-to-ME1.pdf: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982555,https://canvas.oregonstate.edu/courses/2080857/files/119223553?module_item_id=26982555,metadata/00056-mth-252-module-item-252-lecture-1-1-to-me1-pdf-integral-calculus-mth-252z-400-u2026.json,Requested URL resolved to a different URL.,,,
issue-0041,low,redirected,2080857,MTH-252,00057-mth-252-module-item-dr-g-s-videos-1-2-integral-calculus-mth-252z-400-u2026,Dr. G's Videos --> 1.2: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982556,https://canvas.oregonstate.edu/courses/2080857/pages/dr-gs-videos-%3E-1-dot-2?module_item_id=26982556,metadata/00057-mth-252-module-item-dr-g-s-videos-1-2-integral-calculus-mth-252z-400-u2026.json,Requested URL resolved to a different URL.,,,
issue-0042,low,redirected,2080857,MTH-252,00058-mth-252-module-item-pre-class-reading-quiz-1-2-rq-1-2-integral-calculus-mth-252z-400-u2026,Pre-Class Reading Quiz - 1.2 (RQ-1.2): INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982557,https://canvas.oregonstate.edu/courses/2080857/quizzes/3167658?module_item_id=26982557,metadata/00058-mth-252-module-item-pre-class-reading-quiz-1-2-rq-1-2-integral-calculus-mth-252z-400-u2026.json,Requested URL resolved to a different URL.,,,
issue-0043,low,redirected,2080857,MTH-252,00059-mth-252-module-item-module-2-written-homework-whw-2-3-hours,Module 2 — Written Homework (WHW 2) 🕓 3 hours,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982558,https://canvas.oregonstate.edu/courses/2080857/assignments/10586055?module_item_id=26982558,metadata/00059-mth-252-module-item-module-2-written-homework-whw-2-3-hours.json,Requested URL resolved to a different URL.,,,
issue-0044,medium,external_tool,2080857,MTH-252,00060-mth-252-module-item-reflection-2,Reflection 2,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982559,https://canvas.oregonstate.edu/courses/2080857/assignments/10586063?module_item_id=26982559,metadata/00060-mth-252-module-item-reflection-2.json,Page may require external-tool handling beyond rendered Canvas text.,,,
issue-0045,low,redirected,2080857,MTH-252,00060-mth-252-module-item-reflection-2,Reflection 2,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982559,https://canvas.oregonstate.edu/courses/2080857/assignments/10586063?module_item_id=26982559,metadata/00060-mth-252-module-item-reflection-2.json,Requested URL resolved to a different URL.,,,
issue-0046,medium,external_tool,2080857,MTH-252,00061-mth-252-module-item-achieve-1-2-the-definite-integral,Achieve - 1.2 The Definite Integral,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982560,https://canvas.oregonstate.edu/courses/2080857/assignments/10586026?module_item_id=26982560,metadata/00061-mth-252-module-item-achieve-1-2-the-definite-integral.json,Page may require external-tool handling beyond rendered Canvas text.,,,
issue-0047,low,redirected,2080857,MTH-252,00061-mth-252-module-item-achieve-1-2-the-definite-integral,Achieve - 1.2 The Definite Integral,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982560,https://canvas.oregonstate.edu/courses/2080857/assignments/10586026?module_item_id=26982560,metadata/00061-mth-252-module-item-achieve-1-2-the-definite-integral.json,Requested URL resolved to a different URL.,,,
issue-0048,low,redirected,2080857,MTH-252,00062-mth-252-module-item-topic-module-2-discussion-reflection-0-5-hour,Topic: Module 2 — Discussion Reflection 🕓 0.5 hour,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982561,https://canvas.oregonstate.edu/courses/2080857/discussion_topics/11593474?module_item_id=26982561,metadata/00062-mth-252-module-item-topic-module-2-discussion-reflection-0-5-hour.json,Requested URL resolved to a different URL.,,,
issue-0049,low,redirected,2080857,MTH-252,00063-mth-252-module-item-mini-exam-1-tues-thur-no-calculators,Mini-Exam 1 - Tues - Thur --> No Calculators,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982562,https://canvas.oregonstate.edu/courses/2080857/assignments/10586045?module_item_id=26982562,metadata/00063-mth-252-module-item-mini-exam-1-tues-thur-no-calculators.json,Requested URL resolved to a different URL.,,,
issue-0050,low,redirected,2080857,MTH-252,00064-mth-252-module-item-module-3-overview-integral-calculus-mth-252z-400-u2026,Module 3 — Overview: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982563,https://canvas.oregonstate.edu/courses/2080857/pages/module-3-overview?module_item_id=26982563,metadata/00064-mth-252-module-item-module-3-overview-integral-calculus-mth-252z-400-u2026.json,Requested URL resolved to a different URL.,,,
issue-0051,low,redirected,2080857,MTH-252,00065-mth-252-module-item-module-3-learning-materials-and-practice-activities-3-5-hours-integral-calculus-mth-252z-400-u20,Module 3 — Learning Materials and Practice Activities 🕓 3 - 5 hours: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982564,https://canvas.oregonstate.edu/courses/2080857/pages/module-3-learning-materials-and-practice-activities-3-5-hours-2?module_item_id=26982564,metadata/00065-mth-252-module-item-module-3-learning-materials-and-practice-activities-3-5-hours-integral-calculus-mth-252z-400-u20.json,Requested URL resolved to a different URL.,,,
issue-0052,low,redirected,2080857,MTH-252,00066-mth-252-module-item-252-lecture-1-3-to-me2-pdf-integral-calculus-mth-252z-400-u2026,252-Lecture-1.3-to-ME2.pdf: INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982565,https://canvas.oregonstate.edu/courses/2080857/files/119223594?module_item_id=26982565,metadata/00066-mth-252-module-item-252-lecture-1-3-to-me2-pdf-integral-calculus-mth-252z-400-u2026.json,Requested URL resolved to a different URL.,,,
issue-0053,low,redirected,2080857,MTH-252,00067-mth-252-module-item-dr-g-s-videos-1-3-4-10-integral-calculus-mth-252z-400-u2026,"Dr G's Videos --> 1.3, 4.10: INTEGRAL CALCULUS (MTH_252Z_400_U2026)",https://canvas.oregonstate.edu/courses/2080857/modules/items/26982566,https://canvas.oregonstate.edu/courses/2080857/pages/dr-gs-videos-%3E-1-dot-3-4-dot-10?module_item_id=26982566,metadata/00067-mth-252-module-item-dr-g-s-videos-1-3-4-10-integral-calculus-mth-252z-400-u2026.json,Requested URL resolved to a different URL.,,,
issue-0054,low,redirected,2080857,MTH-252,00068-mth-252-module-item-pre-class-reading-quiz-1-3-rq-1-3-integral-calculus-mth-252z-400-u2026,Pre-Class Reading Quiz - 1.3 (RQ-1.3) : INTEGRAL CALCULUS (MTH_252Z_400_U2026),https://canvas.oregonstate.edu/courses/2080857/modules/items/26982567,https://canvas.oregonstate.edu/courses/2080857/quizzes/3167655?module_item_id=26982567,metadata/00068-mth-252-module-item-pre-class-reading-quiz-1-3-rq-1-3-integral-calculus-mth-252z-400-u2026.json,Requested URL resolved to a different URL.,,,
issue-0055,low,redirected,2080857,MTH-252,00069-mth-252-module-item-module-3-written-homework-whw-3-3-hours,Module 3 — Written Homework (WHW 3) 🕓 3 hours,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982568,https://canvas.oregonstate.edu/courses/2080857/assignments/10586056?module_item_id=26982568,metadata/00069-mth-252-module-item-module-3-written-homework-whw-3-3-hours.json,Requested URL resolved to a different URL.,,,
issue-0056,medium,external_tool,2080857,MTH-252,00070-mth-252-module-item-achieve-1-3-the-fundamental-theorem-of-calculus,Achieve - 1.3 The Fundamental Theorem of Calculus,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982569,https://canvas.oregonstate.edu/courses/2080857/assignments/10586027?module_item_id=26982569,metadata/00070-mth-252-module-item-achieve-1-3-the-fundamental-theorem-of-calculus.json,Page may require external-tool handling beyond rendered Canvas text.,,,
issue-0057,low,redirected,2080857,MTH-252,00070-mth-252-module-item-achieve-1-3-the-fundamental-theorem-of-calculus,Achieve - 1.3 The Fundamental Theorem of Calculus,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982569,https://canvas.oregonstate.edu/courses/2080857/assignments/10586027?module_item_id=26982569,metadata/00070-mth-252-module-item-achieve-1-3-the-fundamental-theorem-of-calculus.json,Requested URL resolved to a different URL.,,,
issue-0058,medium,external_tool,2080857,MTH-252,00071-mth-252-module-item-achieve-4-10-antiderivatives,Achieve - 4.10 Antiderivatives,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982570,https://canvas.oregonstate.edu/courses/2080857/assignments/10586042?module_item_id=26982570,metadata/00071-mth-252-module-item-achieve-4-10-antiderivatives.json,Page may require external-tool handling beyond rendered Canvas text.,,,
issue-0059,low,redirected,2080857,MTH-252,00071-mth-252-module-item-achieve-4-10-antiderivatives,Achieve - 4.10 Antiderivatives,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982570,https://canvas.oregonstate.edu/courses/2080857/assignments/10586042?module_item_id=26982570,metadata/00071-mth-252-module-item-achieve-4-10-antiderivatives.json,Requested URL resolved to a different URL.,,,
issue-0060,low,redirected,2080857,MTH-252,00072-mth-252-module-item-topic-module-3-discussion-reflection-mini-exam-1-0-5-hour,Topic: Module 3 — Discussion Reflection: Mini-Exam 1 🕓 0.5 hour,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982571,https://canvas.oregonstate.edu/courses/2080857/discussion_topics/11593473?module_item_id=26982571,metadata/00072-mth-252-module-item-topic-module-3-discussion-reflection-mini-exam-1-0-5-hour.json,Requested URL resolved to a different URL.,,,
